Artist,Date,Venue,City,DetailLink,Address,PostalCode,Latitude,Longitude
BABYMETAL,2025-05-13T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42239403-babymetal-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
"The Swell Season, Glen Hansard, and Markéta Irglová",2025-05-13T20:00:00+0200,Koninklijk Theater Carré,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42305147-swell-season-at-koninklijk-theater-carre,Amstel 115-125,1018 EM,52.36238,4.90388
Bonnie 'Prince' Billy,2025-05-13,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42420794-bonnie-prince-billy-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Vraell,2025-05-13T19:00:00+0200,Paradiso Tolhuistuin,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42271060-vraell-at-paradiso-tolhuistuin,Ijpromenade 2,Unknown,52.38308,4.90303
"Tyler, The Creator",2025-05-14T19:30:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42241172-tyler-the-creator-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
"Tyler, The Creator",2025-05-15T19:30:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42254650-tyler-the-creator-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Divorce (UK),2025-05-15T19:30:00+0200,Bitterzoet,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42419723-divorce-uk-at-bitterzoet,Spuistraat 2,1012,52.3774,4.89422
Rival Consoles,2025-05-16T19:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42304480-rival-consoles-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Douwe Bob,2025-05-16T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/41958381-douwe-bob-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Самое большое простое число,2025-05-16T20:00:00+0200,Bitterzoet,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42402326-samoie-bolshoie-prostoie-chislo-at-bitterzoet,Spuistraat 2,1012,52.3774,4.89422
KUHN FU,2025-05-16,Bimhuis,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42428584-kuhn-fu-at-bimhuis,Piet Heinkade 3,1019,52.37815,4.91283
Abba Gold,2025-05-16T20:30:00+0200,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42416606-abba-gold-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
