Artist,Date,Venue,City,DetailLink,Address,PostalCode,Latitude,Longitude
Jerry Cantrell,2025-06-19,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42433903-jerry-cantrell-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Great Gable,2025-06-19T19:00:00+0200,Bitterzoet,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42310650-great-gable-at-bitterzoet,Spuistraat 2,1012,52.3774,4.89422
Rauw Alejandro,2025-06-20T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42407380-rauw-alejandro-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
The Hard Quartet,2025-06-20T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42306137-hard-quartet-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
The New Conrad Miller Trio,2025-06-20T19:00:00+0200,Teatro Munganga,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42150468-new-conrad-miller-trio-at-teatro-munganga,Schinkelhavenstraat 27-HS,1075 VP,52.35436,4.85399
Molotov,2025-06-21T19:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42401909-molotov-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Outdoor,2025-06-22T20:00:00+0200,Johan Cruijff ArenA,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42388684-robbie-williams-at-johan-cruijff-arena,Unknown,1101 AX,52.31301,4.94214
Robbie Williams Live 2025,2025-06-22T20:00:00+0200,Unknown,"Amsterdam, Netherlands",https://www.songkick.com/festivals/3701152-robbie-williams-live/id/42269062-robbie-williams-live-2025,Unknown,Unknown,52.37022,4.89517
Outdoor,2025-06-23T20:00:00+0200,Johan Cruijff ArenA,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42388686-robbie-williams-at-johan-cruijff-arena,Unknown,1101 AX,52.31301,4.94214
Joe Satriani and Steve Vai,2025-06-23T19:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42319932-joe-satriani-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
John Fogerty,2025-06-23T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42449483-john-fogerty-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Santana,2025-06-24T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42323636-santana-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Outdoor,2025-06-24,TBA - Amsterdam,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42354418-hez-panama-at-tba-amsterdam,Unknown,Unknown,Unknown,Unknown
Alanis Morissette,2025-06-25T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42235069-alanis-morissette-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Lee Rocker,2025-06-25T20:30:00+0200,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42443165-lee-rocker-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
Cassius Jane,2025-06-25T19:30:00+0200,Theater Amsterdam,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42436205-cassius-jane-at-theater-amsterdam,"Danzigerkade 5, Westpoort number 2036",1013 AP,52.39702,4.87724
The Maccabees,2025-06-26,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42462798-maccabees-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Yves Berendse,2025-06-27T20:30:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42057414-yves-berendse-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Yves Berendse,2025-06-28T20:30:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42050797-yves-berendse-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Jennie Lena,2025-06-28T20:30:00+0200,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42300047-jennie-lena-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
Nine Inch Nails,2025-06-29T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42386327-nine-inch-nails-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Camila Cabello,2025-07-01T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42437652-camila-cabello-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Green Day,2025-07-02T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42234935-green-day-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Kylie Minogue,2025-07-03T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42214229-kylie-minogue-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Shaun Banks,2025-07-03,Parlour,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42444234-shaun-banks-at-parlour,Cornelis Troostplein 23,1072 JJ,52.35054,4.89079
Ginton,2025-07-05T19:00:00+0200,"Kleine Zaal, Concertgebouw Amsterdam","Amsterdam, Netherlands",https://www.songkick.com/concerts/42280888-ginton-at-kleine-zaal-concertgebouw-amsterdam,Concertgebouwplein 2-6,1071 LN,52.35588,4.87903
Blowbeat,2025-07-05T20:30:00+0200,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42407856-blowbeat-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
Tom Jones,2025-07-08T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42449490-tom-jones-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Outdoor,2025-07-09T20:00:00+0200,Johan Cruijff ArenA,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42161115-imagine-dragons-at-johan-cruijff-arena,Unknown,1101 AX,52.31301,4.94214
Yeule,2025-07-09,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42460502-yeule-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Outdoor,2025-07-11T20:00:00+0200,Johan Cruijff ArenA,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42374070-stray-kids-at-johan-cruijff-arena,Unknown,1101 AX,52.31301,4.94214
De Amsterdamse Zomer 2025,2025-07-11,Olympic Stadium / Olympisch Stadion,"Amsterdam, Netherlands",https://www.songkick.com/festivals/3360200-de-amsterdamse-zomer/id/42455661-de-amsterdamse-zomer-2025,Olympisch Stadion 2,1076 DE,52.34301,4.85433
Anthony Lazaro,2025-07-18T20:00:00+0200,Zonnehuis,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42385285-anthony-lazaro-at-zonnehuis,Zonneplein 30,1033 EK,52.41341,4.89126
Haltpop 2025,2025-07-19,Haltpop,"Koog Aan de Zaan, Netherlands",https://www.songkick.com/festivals/443698-haltpop/id/42414178-haltpop-2025,Wezelstraat 7,1541 LZ,52.46728,4.80167
Alice Cooper,2025-07-28T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42382053-alice-cooper-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Wine Lips,2025-07-28T20:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42390149-wine-lips-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Dekmantel festival 2025,2025-07-30,Unknown,"Amsterdam, Netherlands",https://www.songkick.com/festivals/689434-dekmantel/id/42392585-dekmantel-festival-2025,Unknown,Unknown,52.37022,4.89517
The Pekkers,2025-08-05,Unknown,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42463156-pekkers-at-unknown-venue,Unknown,Unknown,52.37022,4.89517
Autechre,2025-08-06T19:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42382035-autechre-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
John Digweed,2025-08-09T13:00:00+0200,Loveland,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42421157-john-digweed-at-loveland,Sloterpark,Unknown,52.37022,4.89517
Loveland Festival 2025,2025-08-09,Sloterpark,"Amsterdam, Netherlands",https://www.songkick.com/festivals/85546-loveland/id/42392583-loveland-festival-2025,Unknown,1064 GW,52.37109,4.81674
Mysteryland 2025,2025-08-22,Haarlemmermeer,"Amsterdam, Netherlands",https://www.songkick.com/festivals/22586-mysteryland/id/42459705-mysteryland-2025,Unknown,Unknown,Unknown,Unknown
DJ Gigola,2025-08-30,Zeezout,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42446612-dj-gigola-at-zeezout,Unknown,Unknown,Unknown,Unknown
Midland (US),2025-08-30,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42449534-midland-us-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Jazz In Aartswoud 2025,2025-08-30,Jazzkerk Aartswoud,"Aartswoud, Netherlands",https://www.songkick.com/festivals/3663462-jazz-in-aartswoud/id/42391895-jazz-in-aartswoud-2025,Schoolstraat 45,1719 AT,52.74363,4.94907
Anouk,2025-09-02T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42225621-anouk-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Anouk,2025-09-04T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42232317-anouk-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Toontje Lager,2025-09-12T20:30:00+0200,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42457947-toontje-lager-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
Heaven 17,2025-09-13T20:30:00+0200,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42452918-heaven-17-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
Multigroove 2025,2025-09-13,Unknown,"Amsterdam, Netherlands",https://www.songkick.com/festivals/3504169-multigroove/id/42444063-multigroove-2025,Unknown,Unknown,52.37022,4.89517
Damiano David,2025-09-15T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42321748-damiano-david-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Blondshell,2025-09-18T19:00:00+0200,"Paradiso Noord, Tolhuistuin","Amsterdam, Netherlands",https://www.songkick.com/concerts/42366796-blondshell-at-paradiso-noord-tolhuistuin,IJpromenade 2,1031 KT,52.38308,4.90303
Lil Baby,2025-09-19T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42438786-lil-baby-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Cho,2025-09-20T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42443175-cho-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Aynur Dogan,2025-09-23T20:00:00+0200,"Grote Zaal, Concertgebouw Amsterdam","Amsterdam, Netherlands",https://www.songkick.com/concerts/42395994-aynur-dogan-at-grote-zaal-concertgebouw-amsterdam,Concertgebouwplein 2-6,1071 LN,52.35588,4.87903
Compact Disk Dummies,2025-09-24,Tolhuistuin,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42429982-compact-disk-dummies-at-tolhuistuin,IJpromenade 2,1031KT,52.38515,4.90023
Dan Patlansky,2025-09-24T20:30:00+0200,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42379537-dan-patlansky-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
Eivør,2025-09-25T18:30:00+0200,Paradiso Grote Zaal,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42187300-eivor-at-paradiso-grote-zaal,Weteringschans 6-8,1017 SG,52.36228,4.88395
Kevin Kaarl,2025-09-25T19:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42461785-kevin-kaarl-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
HVOB,2025-09-26T19:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42334983-hvob-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Parcels - Live 2025,2025-09-26T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/festivals/3704259-parcels-live/id/42305135-parcels--live-2025,De Passage 100,1101 AX,52.31345,4.93719
Mason,2025-09-27T21:00:00+0200,Animal Language Kafe Rave,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42420614-mason-at-animal-language-kafe-rave,Unknown,Unknown,Unknown,Unknown
Queen Must Go On,2025-09-27T20:30:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42342500-queen-must-go-on-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
SilverDeep,2025-09-27,Escape,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42149892-silverdeep-at-escape,Rembrandplein 11,1017CT,52.36643,4.89635
OneRepublic,2025-09-28T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42279065-onerepublic-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
"Pierce the Veil, Cavetown, Hot Mulligan, and The Crawlers",2025-09-29T17:55:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42309701-pierce-the-veil-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
"Parkway Drive, Thy Art Is Murder, and The Amity Affliction",2025-09-30T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42226348-parkway-drive-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Jason Mraz,2025-10-01,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42400328-jason-mraz-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Diana Krall,2025-10-01T20:00:00+0200,Koninklijk Theater Carré,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42389650-diana-krall-at-koninklijk-theater-carre,Amstel 115-125,1018 EM,52.36238,4.90388
Casey McQuillen,2025-10-01T20:00:00+0200,Splendor,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42421262-casey-mcquillen-at-splendor,Nieuwe Uilenburgerstraat 116,1011 LX,52.3699,4.90318
De Jeugd Van Tegenwoordig,2025-10-02,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42412473-de-jeugd-van-tegenwoordig-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Floor Jansen,2025-10-02T19:00:00+0200,Koninklijk Theater Carré,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42222556-floor-jansen-at-koninklijk-theater-carre,Amstel 115-125,1018 EM,52.36238,4.90388
Ajeet,2025-10-02T19:30:00+0200,Salon Ruigoord,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42417629-ajeet-at-salon-ruigoord,Ruigoord 36 ﻿1047 HH,1047 HH,52.4102,4.74955
De Jeugd Van Tegenwoordig,2025-10-03T19:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42234972-de-jeugd-van-tegenwoordig-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Ben L'Oncle Soul,2025-10-03T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42272624-ben-loncle-soul-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Ajeet,2025-10-03T20:00:00+0200,Dominicuskerk,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42416287-ajeet-at-dominicuskerk,"Spuistraat 12, 1012 TS",1012 TS,52.377,4.89335
De Jeugd Van Tegenwoordig,2025-10-04T19:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42234964-de-jeugd-van-tegenwoordig-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Ajeet,2025-10-04T20:00:00+0200,Dominicuskerk,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42417630-ajeet-at-dominicuskerk,"Spuistraat 12, 1012 TS",1012 TS,52.377,4.89335
Sigur Rós,2025-10-05T20:00:00+0200,Koninklijk Theater Carré,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42223205-sigur-ros-at-koninklijk-theater-carre,Amstel 115-125,1018 EM,52.36238,4.90388
Hooverphonic,2025-10-05T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42423441-hooverphonic-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Sigur Rós,2025-10-06T20:00:00+0200,Koninklijk Theater Carré,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42223204-sigur-ros-at-koninklijk-theater-carre,Amstel 115-125,1018 EM,52.36238,4.90388
Sigur Rós,2025-10-07T20:00:00+0200,Koninklijk Theater Carré,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42232547-sigur-ros-at-koninklijk-theater-carre,Amstel 115-125,1018 EM,52.36238,4.90388
The Cat Empire,2025-10-07,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42449136-cat-empire-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Charli Jordan Chamberlain,2025-10-09,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42347414-charli-jordan-chamberlain-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
The Inspector Cluzo,2025-10-10,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42314296-inspector-cluzo-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Starsailor,2025-10-11T19:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42403866-starsailor-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
"Black Country, New Road",2025-10-12,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42397252-black-country-new-road-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Bombino,2025-10-12T19:30:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42436876-bombino-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Brit Floyd,2025-10-12T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42393452-brit-floyd-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
"Black Country, New Road",2025-10-13,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42417654-black-country-new-road-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Disturbed and Megadeth,2025-10-14T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42449791-disturbed-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Gregory Alan Isakov,2025-10-15T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42400064-gregory-alan-isakov-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Ollie,2025-10-15,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42357017-ollie-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Gregory Alan Isakov,2025-10-16T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42400065-gregory-alan-isakov-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Gregory Alan Isakov,2025-10-17T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42453551-gregory-alan-isakov-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
MEAU,2025-10-17T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42291234-meau-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Symphonica in Rosso,2025-10-17T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42325317-symphonica-in-rosso-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Dotan,2025-10-18T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42451931-dotan-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Symphonica in Rosso,2025-10-18T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42331341-symphonica-in-rosso-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
"Arch Enemy, Amorphis, Eluveitie, and Gatecreeper",2025-10-28T18:00:00+0100,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42294663-arch-enemy-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Xavier Rudd,2025-10-30T20:00:00+0100,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42409971-xavier-rudd-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Till Lindemann,2025-10-31T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42275260-till-lindemann-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Eskorzo,2025-11-05,Paradiso Kleine Zaal,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42363538-eskorzo-at-paradiso-kleine-zaal,Weteringschans 6-8,1017 SG,52.36228,4.88395
The Offspring,2025-11-07T19:30:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42223203-offspring-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Hauser,2025-11-08T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42393437-hauser-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Patrick Watson,2025-11-12T20:00:00+0100,Koninklijk Theater Carré,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42461029-patrick-watson-at-koninklijk-theater-carre,Amstel 115-125,1018 EM,52.36238,4.90388
Simply Red,2025-11-14T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42211721-simply-red-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Simply Red,2025-11-15T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42219044-simply-red-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Neal Francis,2025-11-15,Tolhuistuin,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42382541-neal-francis-at-tolhuistuin,IJpromenade 2,1031KT,52.38515,4.90023
crazy little things,2025-11-15T20:30:00+0100,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42325813-crazy-little-things-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
Simply Red,2025-11-16T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42305146-simply-red-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Oklou,2025-11-19,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42420434-oklou-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Het Grote Songfestivalfeest 2025,2025-11-20T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/festivals/3251398-het-grote-songfestivalfeest/id/42328237-het-grote-songfestivalfeest-2025,De Passage 100,1101 AX,52.31345,4.93719
Avond van De Filmmuziek 2025,2025-11-23T14:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/festivals/3501245-avond-van-de-filmmuziek/id/42273395-avond-van-de-filmmuziek-2025,De Passage 100,1101 AX,52.31345,4.93719
Sam Garrett,2025-11-24T19:00:00+0100,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42441590-sam-garrett-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Jamiroquai,2025-11-25T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42281561-jamiroquai-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Sabaton,2025-12-01T19:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42270791-sabaton-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
"Louis Cole, Metropole Orkest, and Jules Buckley",2025-12-01T20:00:00+0100,Het Koninklijk Concertgebouw,"Amsterdam, Netherlands",https://www.songkick.com/concerts/41863195-louis-cole-at-het-koninklijk-concertgebouw,Concertgebouwplein 2-6,1071LN,52.35597,4.87856
Chuck Prophet,2025-12-01T19:00:00+0100,Bitterzoet,"Amsterdam, Netherlands",https://www.songkick.com/concerts/41965608-chuck-prophet-at-bitterzoet,Spuistraat 2,1012,52.3774,4.89422
Kensington,2025-12-03T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42391126-kensington-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Kensington,2025-12-04T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42376086-kensington-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Kensington,2025-12-05T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42391127-kensington-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Krezip,2025-12-06T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42389491-krezip-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Big Time Rush,2025-12-08T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42444887-big-time-rush-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
"Big Time Rush, Stephen Kramer Glickman, and Katelyn Tarver",2025-12-09T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42458683-big-time-rush-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Son Mieux,2025-12-12,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42410995-son-mieux-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Son Mieux,2025-12-13,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42452255-son-mieux-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Jonna Fraser,2025-12-18T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42397729-jonna-fraser-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Jamai,2025-12-27T15:30:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42354464-jamai-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Jamai,2025-12-27T19:30:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42354465-jamai-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
