Id,Projectnaamafkorting,Buurtcode,Buurtnaam,Wijkcode,Wijknaam,Gebiedcode,Gebiednaam,Stadsdeelcode,Stadsdeelnaam,Zelfbouw,Socialehuurcorporatie,Plaberumpublicatie,Startbouwgepland,Startbouwgerealiseerd,Socialehuurzelfstperm,Middeldurehuur,Socialekoop,Vrijesectorhuur,Vrijesectorkoop,Vrijesectornb,Onbekend,Jongeren,Studenten,Shonzelfstenoftijdelijk,Onzelfstandig,Tijdelijk,Totaal,Totaalzelfstperm,Peildatum,Geometrie
11198,Marktplein_Cluster 6;Realisatie Blok B2 (69 woningen),TC03,Amsterdamse Poort,TC,Amsterdamse Poort e.o.,GT22,Bijlmer-Centrum,T,Zuidoost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2025-08-01,,7,62,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,69,69,2023-07-01,"SRID=28992;MULTIPOLYGON (((125776.52136755013 480921.10237399314, 125779.06649369026 480958.1480989217, 125817.90481455013 480886.37104070024, 125783.61481435143 480867.8510403589, 125774.01481419278 480881.57104041387, 125791.84481428876 480892.5410406062, 125776.52136755013 480921.10237399314)))"
11199,Marktplein_Cluster 6;Realisatie Blok E (94 woningen),TC03,Amsterdamse Poort,TC,Amsterdamse Poort e.o.,GT22,Bijlmer-Centrum,T,Zuidoost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2025-02-17,,0,0,24,0,0,70,0,n.b.,n.b.,n.b.,n.b.,n.b.,94,94,2023-07-01,"SRID=28992;MULTIPOLYGON (((125661.61259750692 480971.1878852302, 125674.32656979452 480962.13726088987, 125668.00184352037 480958.73152112076, 125690.93209868552 480915.86932427256, 125678.82926070837 480910.2665154946, 125649.83029155424 480964.62520837877, 125661.61259750692 480971.1878852302)))"
11200,Nieuwe Meer West | Programma;Programma 2031,FQ08,Park Haagseweg,FQ,Sloten/Nieuw-Sloten,GF09,"De Aker, Sloten, Nieuw-Sloten",F,Nieuw-West,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2031-01-01,,59,59,0,0,0,30,0,n.b.,n.b.,n.b.,n.b.,n.b.,148,148,2023-07-01,"SRID=28992;MULTIPOLYGON (((116828.4493214925 483687.39467586076, 116793.2657885144 484037.72850731655, 116772.06935622692 484037.4474357866, 116811.54595798648 483644.03048175655, 116826.95303685038 483644.5790101369, 116828.4493214925 483687.39467586076)))"
11201,OD-Blomwijkeerbuurt 1b Braak en Bosch + Beek en Hoff;Bouw woningen Beek en Hoff  (22 won),FK01,Wildeman,FK,Osdorp-Oost,GF08,Osdorp,F,Nieuw-West,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2024-05-01,,0,22,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,22,22,2023-07-01,"SRID=28992;MULTIPOLYGON (((115120.27256602583 486081.9253305082, 115089.52450002315 486176.04441058956, 115080.15008965648 486188.0436558589, 115011.52940577245 486165.5450709789, 115063.39772400592 486037.4551254358, 115073.16726691014 486040.9367211552, 115120.27256602583 486081.9253305082)))"
11202,OD-Blomwijkeerbuurt 1b Braak en Bosch + Beek en Hoff;Bouw woningen Braak en Bosch   (22 won),FK01,Wildeman,FK,Osdorp-Oost,GF08,Osdorp,F,Nieuw-West,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2024-05-01,,0,22,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,22,22,2023-07-01,"SRID=28992;MULTIPOLYGON (((114966.9072124271 486007.30502398947, 115034.02799065247 486029.05365604017, 114993.15556145378 486159.92042475886, 114921.91004266709 486136.29691063485, 114966.9072124271 486007.30502398947)))"
11204,Overamstel/Bajeskwartier;Gebouw B = The Stern (was voorheen kantoren nu woningen) aantal is PM,MQ07,Weespertrekvaart,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2024-10-01,,20,0,0,0,0,70,0,n.b.,n.b.,n.b.,n.b.,n.b.,90,90,2023-07-01,"SRID=28992;MULTIPOLYGON (((123451.44544632144 483388.76123495423, 123514.4207475566 483277.9651167383, 123500.68326131561 483271.7274417165, 123438.21041335053 483381.71303003887, 123451.44544632144 483388.76123495423)))"
11205,Overamstel/Bajeskwartier;Realisatie E = Ruby  PROJECT ON HOLD START BOUW PM EIND 23),MQ07,Weespertrekvaart,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2024-03-04,,0,0,0,0,0,103,0,n.b.,n.b.,n.b.,n.b.,n.b.,103,103,2023-07-01,"SRID=28992;MULTIPOLYGON (((123435.679 483519.681, 123448.457 483526.515, 123447.441 483528.399, 123453.606 483531.725, 123452.692 483533.419, 123474.113 483544.93, 123485.605 483523.441, 123474.048 483517.26, 123478.431 483509.065, 123461.959 483500.256, 123459.302 483505.225, 123446.945 483498.617, 123435.679 483519.681)))"
11206,Overtoomse Veld                                        ¯   ¿   ½                          Waldorpstraat (fase 3);Uitvoering renovatie,FM04,Overtoomse Veld-Zuid,FM,Overtoomse Veld,GF10,Slotervaart,F,Nieuw-West,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2025-07-15,,174,0,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,174,174,2023-07-01,"SRID=28992;MULTIPOLYGON (((117838.676 486190.785, 117838.889 486170.638, 117839.104 486150.343, 117839.317 486130.258, 117839.53 486110.046, 117829.492 486109.941, 117829.498 486109.393, 117828.111 486109.376, 117828.11 486109.477, 117827.319 486109.461, 117827.272 486109.46, 117827.244 486110.839, 117828.044 486110.855, 117827.987 486113.678, 117827.934 486116.324, 117827.897 486118.154, 117827.767 486118.151, 117827.761 486118.691, 117826.782 486118.68, 117826.739 486121.57, 117827.73 486121.581, 117827.724 486122.171, 117827.853 486122.172, 117827.83 486124.285, 117827.801 486126.885, 117827.773 486129.472, 117826.974 486129.463, 117826.966 486130.128, 117826.959 486130.794, 117827.758 486130.802, 117827.727 486133.605, 117827.698 486136.307, 117827.678 486138.091, 117827.549 486138.09, 117827.542 486138.7, 117826.563 486138.689, 117826.532 486141.539, 117827.511 486141.55, 117827.504 486142.14, 117827.634 486142.141, 117827.612 486144.153, 117827.583 486146.753, 117827.554 486149.441, 117826.755 486149.432, 117826.746 486150.217, 117826.738 486151.002, 117827.536 486151.012, 117827.506 486153.778, 117827.478 486156.399, 117827.456 486158.39, 117827.327 486158.389, 117827.32 486158.969, 117826.341 486158.958, 117826.32 486160.847, 117826.309 486161.798, 117827.289 486161.809, 117827.282 486162.409, 117827.412 486162.41, 117827.391 486164.346, 117827.362 486166.944, 117827.332 486169.72, 117826.533 486169.711, 117826.524 486170.496, 117826.515 486171.281, 117827.314 486171.29, 117827.283 486174.092, 117827.255 486176.708, 117827.234 486178.609, 117827.105 486178.608, 117827.098 486179.198, 117826.118 486179.187, 117826.087 486182.047, 117827.066 486182.058, 117827.059 486182.638, 117827.19 486182.639, 117827.168 486184.661, 117827.139 486187.234, 117827.109 486189.999, 117826.317 486189.991, 117826.31 486190.656, 117826.304 486191.321, 117827.104 486191.329, 117827.065 486194.084, 117827.036 486196.721, 117827.015 486198.608, 117826.885 486198.607, 117826.879 486199.197, 117825.899 486199.186, 117825.868 486202.046, 117826.847 486202.057, 117826.84 486202.676, 117826.97 486202.676, 117826.97 486204.702, 117826.97 486207.257, 117826.97 486209.996, 117826.17 486209.996, 117826.17 486211.386, 117826.997 486211.386, 117826.996 486211.476, 117828.416 486211.491, 117828.422 486210.931, 117838.46 486211.036, 117838.464 486210.748, 117838.676 486190.785)), ((117851.121 486247.046, 117851.19 486240.056, 117846.231 486240.007, 117846.234 486239.707, 117842.084 486239.666, 117842.091 486238.966, 117831.849 486238.88, 117831.843 486239.58, 117824.043 486239.514, 117824.049 486238.814, 117813.799 486238.726, 117813.793 486239.426, 117805.754 486239.357, 117805.76 486238.657, 117795.51 486238.569, 117795.504 486239.269, 117787.714 486239.202, 117787.72 486238.502, 117787.57 486238.501, 117782.51 486238.457, 117782.54 486236.487, 117777.835 486236.414, 117772.79 486236.336, 117772.611 486248.066, 117777.991 486248.12, 117777.971 486250.046, 117781.042 486250.118, 117781.032 486251.128, 117783.912 486251.156, 117783.922 486250.146, 117799.071 486250.296, 117799.061 486251.306, 117801.941 486251.335, 117801.951 486250.325, 117808.581 486250.39, 117808.571 486251.46, 117810.671 486251.481, 117810.681 486250.411, 117817.351 486250.477, 117817.341 486251.487, 117820.22 486251.516, 117820.23 486250.506, 117835.41 486250.656, 117835.4 486251.666, 117838.28 486251.695, 117838.29 486250.685, 117844.82 486250.75, 117844.81 486251.796, 117845.837 486251.806, 117846.891 486251.816, 117846.896 486251.4, 117846.901 486250.747, 117846.523 486250.744, 117846.526 486250.394, 117846.296 486250.392, 117846.308 486249.042, 117846.148 486249.041, 117846.149 486248.886, 117846.161 486247.016, 117850.299 486247.042, 117851.121 486247.046)), ((117786.006 486183.436, 117786.037 486180.586, 117785.057 486180.576, 117785.063 486179.986, 117784.943 486179.985, 117785.022 486172.634, 117785.822 486172.643, 117785.839 486171.073, 117785.039 486171.064, 117785.116 486163.786, 117785.236 486163.787, 117785.242 486163.187, 117786.222 486163.197, 117786.231 486162.363, 117786.253 486160.357, 117785.273 486160.347, 117785.279 486159.757, 117785.159 486159.756, 117785.237 486152.415, 117786.038 486152.424, 117786.052 486151.094, 117785.252 486151.085, 117785.33 486143.808, 117785.449 486143.808, 117785.455 486143.208, 117786.435 486143.218, 117786.466 486140.368, 117785.487 486140.358, 117785.493 486139.712, 117785.373 486139.711, 117785.451 486132.372, 117786.252 486132.381, 117786.268 486130.992, 117785.405 486130.982, 117785.406 486130.922, 117783.966 486130.906, 117783.961 486131.445, 117773.931 486131.336, 117773.24 486195.999, 117772.851 486232.326, 117777.741 486232.379, 117780.784 486232.412, 117782.922 486232.435, 117782.916 486232.984, 117784.375 486233.001, 117784.382 486232.323, 117785.182 486232.331, 117785.196 486231.001, 117784.397 486230.993, 117784.468 486224.252, 117784.589 486224.253, 117784.595 486223.664, 117785.575 486223.674, 117785.606 486220.814, 117784.626 486220.804, 117784.632 486220.204, 117784.511 486220.203, 117784.589 486212.914, 117785.409 486212.922, 117785.424 486211.592, 117784.603 486211.584, 117784.682 486204.264, 117784.803 486204.265, 117784.809 486203.675, 117785.79 486203.685, 117785.821 486200.835, 117784.84 486200.825, 117784.847 486200.225, 117784.725 486200.224, 117784.803 486192.905, 117785.614 486192.913, 117785.631 486191.343, 117784.821 486191.335, 117784.899 486184.025, 117785.02 486184.026, 117785.026 486183.426, 117786.006 486183.436)))"
11212,Zuidas/Ravel ontwikkelveld 2;Ravel ontwikkelveld 2 fase 1 kavel D woningen: bouw incl maaiveld,KP05,Vivaldi,KP,Zuidas,GK12,"Buitenveldert, Zuidas",K,Zuid,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2026-04-17,,70,0,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,70,70,2023-07-01,"SRID=28992;MULTIPOLYGON (((120321.22375210433 483315.87207972736, 120353.64243569388 483259.0745460784, 120304.62594382698 483254.30570474564, 120277.11758678533 483315.4736267362, 120321.22375210433 483315.87207972736)))"
11213,Zuidas/Ravel ontwikkelveld 2;Ravel ontwikkelveld 2 fase 4 kavel J: bouw indicatief,KP05,Vivaldi,KP,Zuidas,GK12,"Buitenveldert, Zuidas",K,Zuid,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2034-03-24,,260,0,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,260,260,2023-07-01,"SRID=28992;MULTIPOLYGON (((120510.15145961691 483190.31079461664, 120609.79112532116 483190.6364144392, 120609.4655054986 483240.7818671139, 120510.80269926204 483242.40996622667, 120510.15145961691 483190.31079461664)))"
