Index,Artist,Date,Venue,City,Latitude,Longitude
172,Joia,2025/4/3,De Kleine Komedie,Amsterdam,52.36695,4.8958
173,Mr Traumatik,2025/4/3,Club Smokey,Amsterdam,52.36573,4.89607
174,"Nils Wogram, Nils Wogram Root 70, Hayden Chisholm, Matt Penman, Jochen Rueckert, and Martin Fondse",2025/4/3,Splendor,Amsterdam,52.3699,4.90318
175,Marble Waves,2025/4/3,Zonnehuis,Amsterdam,52.41341,4.89126
176,Ladies of Soul,2025/4/4,Ziggo Dome,Amsterdam,52.31345,4.93719
177,Ashley Henry,2025/4/4,Club Kazoo @ Tolhuis,Amsterdam,Unknown,Unknown
178,nick barbachano,2025/4/4,Dominicuskerk,Amsterdam,52.377,4.89335
179,Azu Tiwaline,2025/4/4,Radion,Amsterdam,52.37022,4.89517
180,Quentyn,2025/4/4,Cinetol,Amsterdam,52.35281,4.90657
181,Marcus Henry V,2025/4/4,Unknown,Amsterdam,52.37022,4.89517
182,Ladies of Soul,2025/4/5,Ziggo Dome,Amsterdam,52.31345,4.93719
183,Snapped Ankles,2025/4/5,Paradiso Tolhuistuin,Amsterdam,52.38308,4.90303
184,Mason,2025/4/5,Loods 12 Amsterdam Noord,Amsterdam,52.38411,4.92051
185,"Shkodra Elektronike, Claude, Red Sebastian, JJ, Erika Vikman, Justyna Steczkowska, and Kyle Alessandro",2025/4/5,AFAS Live,Amsterdam,52.31216,4.94467
186,"Imaani, Serhat, Luke Black, Kaleen, Krista Siegfrids, and Konstrakta",2025/4/5,Afas Talent Stage,Amsterdam,52.31252,4.94397
187,"Montis, Goudsmit & Directie",2025/4/5,Jazzhuis Abcoude,Abcoude,52.27022,4.97421
188,GREH,2025/4/5,The Cave,Amsterdam,52.36441,4.88487
189,Eric Vloeimans and J?rg Brinkmann,2025/4/5,Bon Theater,Medemblik,52.7622,5.10165
190,SPAWN (NL),2025/4/5,De Nieuwe Anita,Amsterdam,52.37417,4.87269
191,The Pekkers,2025/4/5,Unknown,Amsterdam,52.37022,4.89517
192,Ladies of Soul,2025/4/6,Ziggo Dome,Amsterdam,52.31345,4.93719
193,Jack and Jack,2025/4/6,Melkweg,Amsterdam,52.36484,4.88127
194,Alison Moyet,2025/4/7,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
195,Die Verlierer,2025/4/7,OCCII,Amsterdam,52.37022,4.89517
196,CENTRAL CEE,2025/4/8,Ziggo Dome,Amsterdam,52.31345,4.93719
197,Gigi Perez,2025/4/8,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
198,¦²tella (GR),2025/4/8,Bitterzoet,Amsterdam,52.3774,4.89422
199,Wolfgang Valbrun,2025/4/8,Paradiso,Amsterdam,52.36228,4.88395
200,"Kaytranada, Sango, and Lou Phelps",2025/4/9,AFAS Live,Amsterdam,52.31216,4.94467
201,David Gray,2025/4/9,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
202,Disiz,2025/4/9,Melkweg,Amsterdam,52.36484,4.88127
203,Fischer-Z Solo,2025/4/9,Melkweg,Amsterdam,52.36484,4.88127
204,"Kaytranada, Sango, and Lou Phelps",2025/4/10,AFAS Live,Amsterdam,52.31216,4.94467
205,David Gray,2025/4/10,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
206,Hania Rani,2025/4/10,Het Koninklijk Concertgebouw,Amsterdam,52.35597,4.87856
207,The Mary Wallopers,2025/4/10,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
208,The Selecter,2025/4/10,Melkweg,Amsterdam,52.36484,4.88127
209,Allman Brown,2025/4/10,Bitterzoet,Amsterdam,52.3774,4.89422
210,Cristina Branco,2025/4/10,Theater De Meervaart,Amsterdam,52.35914,4.80815
211,Ji,2025/4/10,Melkweg + Sugarfactory,Amsterdam,52.36493,4.8817
212,J.I. Prince of NY,2025/4/10,Melkweg Max & Oz,Amsterdam,52.36493,4.8817
213,MONTE MAI,2025/4/10,Cinetol,Amsterdam,52.35281,4.90657
214,ANOTR,2025/4/11,AFAS Live,Amsterdam,52.31216,4.94467
215,okgiorgio,2025/4/11,Paradiso,Amsterdam,52.36228,4.88395
216,Anna-Rose Clayton,2025/4/11,Paradiso Tolhuistuin,Amsterdam,52.38308,4.90303
217,Sico Vox,2025/4/11,De Ebeling,Amsterdam,52.36331,4.87657
218,Luka Schuurman,2025/4/11,ADM Noord,Amsterdam,Unknown,Unknown
219,Tess Merlot,2025/4/11,Cultureel Centrum Bullekerk,Zaandam,52.44458,4.81888
220,Alexander Delanois,2025/4/11,oosterbar,Amsterdam,52.37022,4.89517
221,Oracle Sisters,2025/4/12,Paradiso,Amsterdam,52.36228,4.88395
222,Oddisee and GOOD COMPNY,2025/4/12,Melkweg,Amsterdam,52.36484,4.88127
223,Eric Vloeimans and J?rg Brinkmann,2025/4/12,VU Griffioen,Amsterdam,52.33469,4.86333
224,Wakki,2025/4/12,De Nieuwe Anita,Amsterdam,52.37417,4.87269
225,Fie Schouten and Katharina Gross,2025/4/13,Plein Theater,Amsterdam,52.36088,4.91395
226,Dirk Scheele,2025/4/13,Zaantheater,Zaandam,52.43852,4.82511
227,Catself,2025/4/13,Theatercaf¨¦ de Roode Remise,Amsterdam,52.38403,4.88389
228,Euroboy (NL),2025/4/13,Volkshotel,Amsterdam,52.35371,4.91192
229,Fat Dog,2025/4/14,Paradiso,Amsterdam,52.36228,4.88395
230,Rosie Lowe,2025/4/14,Paradiso Kleine Zaal,Amsterdam,52.36228,4.88395
231,"Rapha?l Pichon, Ensemble Pygmalion, and Julien Pr¨¦gardien",2025/4/14,Het Koninklijk Concertgebouw,Amsterdam,52.35597,4.87856
232,P?ter (CANADA),2025/4/14,Toekomst Muziek,Amsterdam,52.32423,4.96059
233,La Femme,2025/4/15,Paradiso,Amsterdam,52.36228,4.88395
234,Squid,2025/4/15,Melkweg,Amsterdam,52.36484,4.88127
235,Donell Jones,2025/4/15,AFAS Live,Amsterdam,52.31216,4.94467
236,Billy Cobham,2025/4/15,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
237,Vincent Lima,2025/4/15,Paradiso,Amsterdam,52.36228,4.88395
238,mxmtoon,2025/4/16,Melkweg OZ,Amsterdam,52.36484,4.88127
239,Klyne,2025/4/16,Melkweg Upstairs,Amsterdam,52.36484,4.88127
240,Alessi Rose,2025/4/16,Paradiso,Amsterdam,52.36228,4.88395
241,Echt!,2025/4/17,Paradiso,Amsterdam,52.36228,4.88395
242,Monolink,2025/4/18,Dgtl Festival,Amsterdam,52.37022,4.89517
243,Jackson Dean,2025/4/18,Melkweg,Amsterdam,52.36484,4.88127
244,Joe Sanders,2025/4/18,Bimhuis,Amsterdam,52.37815,4.91283
245,Scarblade,2025/4/18,The Cave,Amsterdam,52.36441,4.88487
246,DGTL Amsterdam 2025,2025/4/18,NDSM Docklands,Amsterdam,52.40108,4.8962
247,DGTL Amsterdam 2025,2025/4/18,NDSM Docklands,Amsterdam,52.40108,4.8962
248,KREAM,2025/4/19,Melkweg,Amsterdam,52.36484,4.88127
249,Jools Holland & His Rhythm & Blues Orchestra,2025/4/19,Paradiso,Amsterdam,52.36228,4.88395
250,Fejk¨¢,2025/4/19,Melkweg Max & Oz,Amsterdam,52.36493,4.8817
251,Anneke van Giersbergen and orkest koninklijke luchtmacht,2025/4/19,Veluvine Nunspeet,Nunspeet,52.38307,5.78971
252,Matt Dusk,2025/4/19,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
253,DGTL 2025,2025/4/19,Ndsm Scheepsbouwloods,Amsterdam,52.40129,4.89642
254,Ora Cogan,2025/4/20,Cinetol,Amsterdam,52.35281,4.90657
255,Katie Tupper,2025/4/20,Paradiso,Amsterdam,52.36228,4.88395
256,LX187,2025/4/20,Amsterdam Centraal Station,Amsterdam,Unknown,Unknown
257,Yildiz Tilbe,2025/4/21,AFAS Live,Amsterdam,52.31216,4.94467
258,Josephine Odhil,2025/4/21,Paradiso,Amsterdam,52.36228,4.88395
259,Usher,2025/4/22,Ziggo Dome,Amsterdam,52.31345,4.93719
260,SHEPPARD,2025/4/22,Tolhuistuin,Amsterdam,52.38515,4.90023
261,The Slow Readers Club,2025/4/22,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
262,Tay Oskee,2025/4/22,Paradiso,Amsterdam,52.36228,4.88395
263,Usher,2025/4/23,Ziggo Dome,Amsterdam,52.31345,4.93719
264,Sugababes and Rose Gray,2025/4/23,AFAS Live,Amsterdam,52.31216,4.94467
265,Chase Atlantic,2025/4/24,AFAS Live,Amsterdam,52.31216,4.94467
