Index,Artist,Date,Venue,City,Latitude,Longitude
403,Duran Duran,2025/6/11,Ziggo Dome,Amsterdam,52.31345,4.93719
404,Impact Night,2025/6/11,AFAS Live,Amsterdam,52.31216,4.94467
405,Basia Bulat,2025/6/13,Paradiso,Amsterdam,52.36228,4.88395
406,Mallrat,2025/6/14,Paradiso,Amsterdam,52.36228,4.88395
407,"The Bad Plus, Reid Anderson, Dave King, Ben Monder, and Chris Speed",2025/6/14,Bimhuis,Amsterdam,52.37815,4.91283
408,Abel Selaocoe and Ensemble Resonanz,2025/6/14,Het Koninklijk Concertgebouw,Amsterdam,52.35597,4.87856
409,Spiral Drive,2025/6/14,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
410,V.O.F. de Kunst,2025/6/14,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
411,Ruud Houweling,2025/6/14,Theater De Roode Bioscoop,Amsterdam,52.38411,4.88396
412,Pitbull and Shaggy,2025/6/15,Ziggo Dome,Amsterdam,52.31345,4.93719
413,Lucy Dacus,2025/6/16,Paradiso,Amsterdam,52.36228,4.88395
414,Stephen Wilson Jr.,2025/6/16,Paradiso,Amsterdam,52.36228,4.88395
415,R?F?S DU SOL and Weval,2025/6/17,AFAS Live,Amsterdam,52.31216,4.94467
416,R?F?S DU SOL and Weval,2025/6/18,AFAS Live,Amsterdam,52.31216,4.94467
417,Lionel Richie,2025/6/19,Ziggo Dome,Amsterdam,52.31345,4.93719
418,Morrissey,2025/6/19,AFAS Live,Amsterdam,52.31216,4.94467
419,Jerry Cantrell,2025/6/19,Melkweg,Amsterdam,52.36484,4.88127
420,Great Gable,2025/6/19,Bitterzoet,Amsterdam,52.3774,4.89422
421,Rauw Alejandro,2025/6/20,Ziggo Dome,Amsterdam,52.31345,4.93719
422,The Hard Quartet,2025/6/20,Paradiso,Amsterdam,52.36228,4.88395
423,The New Conrad Miller Trio,2025/6/20,Teatro Munganga,Amsterdam,52.35436,4.85399
424,Molotov,2025/6/21,Melkweg,Amsterdam,52.36484,4.88127
425,Outdoor,2025/6/22,Johan Cruijff ArenA,Amsterdam,52.31301,4.94214
426,Robbie Williams Live 2025,2025/6/22,Unknown,Amsterdam,52.37022,4.89517
427,Outdoor,2025/6/23,Johan Cruijff ArenA,Amsterdam,52.31301,4.94214
428,Joe Satriani and Steve Vai,2025/6/23,AFAS Live,Amsterdam,52.31216,4.94467
429,John Fogerty,2025/6/23,Ziggo Dome,Amsterdam,52.31345,4.93719
430,Santana,2025/6/24,Ziggo Dome,Amsterdam,52.31345,4.93719
431,Outdoor,2025/6/24,TBA - Amsterdam,Amsterdam,Unknown,Unknown
432,Alanis Morissette,2025/6/25,Ziggo Dome,Amsterdam,52.31345,4.93719
433,Lee Rocker,2025/6/25,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
434,Cassius Jane,2025/6/25,Theater Amsterdam,Amsterdam,52.39702,4.87724
435,The Maccabees,2025/6/26,Paradiso,Amsterdam,52.36228,4.88395
436,Yves Berendse,2025/6/27,Ziggo Dome,Amsterdam,52.31345,4.93719
437,Yves Berendse,2025/6/28,Ziggo Dome,Amsterdam,52.31345,4.93719
438,Jennie Lena,2025/6/28,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
439,Nine Inch Nails,2025/6/29,Ziggo Dome,Amsterdam,52.31345,4.93719
440,Camila Cabello,2025/7/1,AFAS Live,Amsterdam,52.31216,4.94467
441,Green Day,2025/7/2,Ziggo Dome,Amsterdam,52.31345,4.93719
442,Kylie Minogue,2025/7/3,Ziggo Dome,Amsterdam,52.31345,4.93719
443,Shaun Banks,2025/7/3,Parlour,Amsterdam,52.35054,4.89079
444,Ginton,2025/7/5,"Kleine Zaal, Concertgebouw Amsterdam",Amsterdam,52.35588,4.87903
445,Blowbeat,2025/7/5,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
446,Tom Jones,2025/7/8,Ziggo Dome,Amsterdam,52.31345,4.93719
447,Outdoor,2025/7/9,Johan Cruijff ArenA,Amsterdam,52.31301,4.94214
448,Yeule,2025/7/9,Melkweg,Amsterdam,52.36484,4.88127
449,Outdoor,2025/7/11,Johan Cruijff ArenA,Amsterdam,52.31301,4.94214
450,De Amsterdamse Zomer 2025,2025/7/11,Olympic Stadium / Olympisch Stadion,Amsterdam,52.34301,4.85433
451,Anthony Lazaro,2025/7/18,Zonnehuis,Amsterdam,52.41341,4.89126
452,Haltpop 2025,2025/7/19,Haltpop,Koog Aan de Zaan,52.46728,4.80167
453,Alice Cooper,2025/7/28,AFAS Live,Amsterdam,52.31216,4.94467
454,Wine Lips,2025/7/28,Melkweg,Amsterdam,52.36484,4.88127
455,Dekmantel festival 2025,2025/7/30,Unknown,Amsterdam,52.37022,4.89517
456,The Pekkers,2025/8/5,Unknown,Amsterdam,52.37022,4.89517
457,Autechre,2025/8/6,Melkweg,Amsterdam,52.36484,4.88127
458,John Digweed,2025/8/9,Loveland,Amsterdam,52.37022,4.89517
459,Loveland Festival 2025,2025/8/9,Sloterpark,Amsterdam,52.37109,4.81674
460,Mysteryland 2025,2025/8/22,Haarlemmermeer,Amsterdam,Unknown,Unknown
461,DJ Gigola,2025/8/30,Zeezout,Amsterdam,Unknown,Unknown
462,Midland (US),2025/8/30,Paradiso,Amsterdam,52.36228,4.88395
463,Jazz In Aartswoud 2025,2025/8/30,Jazzkerk Aartswoud,Aartswoud,52.74363,4.94907
464,Anouk,2025/9/2,Ziggo Dome,Amsterdam,52.31345,4.93719
465,Anouk,2025/9/4,Ziggo Dome,Amsterdam,52.31345,4.93719
466,Toontje Lager,2025/9/12,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
467,Heaven 17,2025/9/13,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
468,Multigroove 2025,2025/9/13,Unknown,Amsterdam,52.37022,4.89517
469,Damiano David,2025/9/15,AFAS Live,Amsterdam,52.31216,4.94467
470,Blondshell,2025/9/18,"Paradiso Noord, Tolhuistuin",Amsterdam,52.38308,4.90303
471,Lil Baby,2025/9/19,AFAS Live,Amsterdam,52.31216,4.94467
472,Cho,2025/9/20,Ziggo Dome,Amsterdam,52.31345,4.93719
473,Aynur Dogan,2025/9/23,"Grote Zaal, Concertgebouw Amsterdam",Amsterdam,52.35588,4.87903
474,Compact Disk Dummies,2025/9/24,Tolhuistuin,Amsterdam,52.38515,4.90023
475,Dan Patlansky,2025/9/24,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
476,Eiv?r,2025/9/25,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
477,Kevin Kaarl,2025/9/25,Melkweg,Amsterdam,52.36484,4.88127
478,HVOB,2025/9/26,Melkweg,Amsterdam,52.36484,4.88127
479,Parcels - Live 2025,2025/9/26,Ziggo Dome,Amsterdam,52.31345,4.93719
480,Mason,2025/9/27,Animal Language Kafe Rave,Amsterdam,Unknown,Unknown
481,Queen Must Go On,2025/9/27,Ziggo Dome,Amsterdam,52.31345,4.93719
482,SilverDeep,2025/9/27,Escape,Amsterdam,52.36643,4.89635
483,OneRepublic,2025/9/28,Ziggo Dome,Amsterdam,52.31345,4.93719
484,"Pierce the Veil, Cavetown, Hot Mulligan, and The Crawlers",2025/9/29,AFAS Live,Amsterdam,52.31216,4.94467
485,"Parkway Drive, Thy Art Is Murder, and The Amity Affliction",2025/9/30,Ziggo Dome,Amsterdam,52.31345,4.93719
486,Jason Mraz,2025/10/1,Paradiso,Amsterdam,52.36228,4.88395
487,Diana Krall,2025/10/1,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
488,Casey McQuillen,2025/10/1,Splendor,Amsterdam,52.3699,4.90318
489,De Jeugd Van Tegenwoordig,2025/10/2,Ziggo Dome,Amsterdam,52.31345,4.93719
490,Floor Jansen,2025/10/2,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
491,Ajeet,2025/10/2,Salon Ruigoord,Amsterdam,52.4102,4.74955
492,De Jeugd Van Tegenwoordig,2025/10/3,Ziggo Dome,Amsterdam,52.31345,4.93719
493,Ben L'Oncle Soul,2025/10/3,AFAS Live,Amsterdam,52.31216,4.94467
494,Ajeet,2025/10/3,Dominicuskerk,Amsterdam,52.377,4.89335
495,De Jeugd Van Tegenwoordig,2025/10/4,Ziggo Dome,Amsterdam,52.31345,4.93719
496,Ajeet,2025/10/4,Dominicuskerk,Amsterdam,52.377,4.89335
497,Sigur R¨®s,2025/10/5,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
498,Hooverphonic,2025/10/5,Paradiso,Amsterdam,52.36228,4.88395
499,Sigur R¨®s,2025/10/6,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
500,Sigur R¨®s,2025/10/7,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
501,The Cat Empire,2025/10/7,Paradiso,Amsterdam,52.36228,4.88395
502,Charli Jordan Chamberlain,2025/10/9,Paradiso,Amsterdam,52.36228,4.88395
503,The Inspector Cluzo,2025/10/10,Melkweg,Amsterdam,52.36484,4.88127
504,Starsailor,2025/10/11,Melkweg,Amsterdam,52.36484,4.88127
505,"Black Country, New Road",2025/10/12,Paradiso,Amsterdam,52.36228,4.88395
506,Bombino,2025/10/12,Melkweg,Amsterdam,52.36484,4.88127
507,Brit Floyd,2025/10/12,AFAS Live,Amsterdam,52.31216,4.94467
508,"Black Country, New Road",2025/10/13,Paradiso,Amsterdam,52.36228,4.88395
509,Disturbed and Megadeth,2025/10/14,Ziggo Dome,Amsterdam,52.31345,4.93719
510,Gregory Alan Isakov,2025/10/15,Paradiso,Amsterdam,52.36228,4.88395
511,Ollie,2025/10/15,Melkweg,Amsterdam,52.36484,4.88127
512,Gregory Alan Isakov,2025/10/16,Paradiso,Amsterdam,52.36228,4.88395
513,Gregory Alan Isakov,2025/10/17,Paradiso,Amsterdam,52.36228,4.88395
514,MEAU,2025/10/17,AFAS Live,Amsterdam,52.31216,4.94467
515,Symphonica in Rosso,2025/10/17,Ziggo Dome,Amsterdam,52.31345,4.93719
516,Dotan,2025/10/18,AFAS Live,Amsterdam,52.31216,4.94467
517,Symphonica in Rosso,2025/10/18,Ziggo Dome,Amsterdam,52.31345,4.93719
518,"Arch Enemy, Amorphis, Eluveitie, and Gatecreeper",2025/10/28,AFAS Live,Amsterdam,52.31216,4.94467
519,Xavier Rudd,2025/10/30,AFAS Live,Amsterdam,52.31216,4.94467
520,Till Lindemann,2025/10/31,Ziggo Dome,Amsterdam,52.31345,4.93719
521,Eskorzo,2025/11/5,Paradiso Kleine Zaal,Amsterdam,52.36228,4.88395
522,The Offspring,2025/11/7,Ziggo Dome,Amsterdam,52.31345,4.93719
523,Hauser,2025/11/8,Ziggo Dome,Amsterdam,52.31345,4.93719
524,Patrick Watson,2025/11/12,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
525,Simply Red,2025/11/14,Ziggo Dome,Amsterdam,52.31345,4.93719
526,Simply Red,2025/11/15,Ziggo Dome,Amsterdam,52.31345,4.93719
527,Neal Francis,2025/11/15,Tolhuistuin,Amsterdam,52.38515,4.90023
528,crazy little things,2025/11/15,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
529,Simply Red,2025/11/16,Ziggo Dome,Amsterdam,52.31345,4.93719
530,Oklou,2025/11/19,Melkweg,Amsterdam,52.36484,4.88127
531,Het Grote Songfestivalfeest 2025,2025/11/20,Ziggo Dome,Amsterdam,52.31345,4.93719
532,Avond van De Filmmuziek 2025,2025/11/23,Ziggo Dome,Amsterdam,52.31345,4.93719
533,Sam Garrett,2025/11/24,Paradiso,Amsterdam,52.36228,4.88395
534,Jamiroquai,2025/11/25,Ziggo Dome,Amsterdam,52.31345,4.93719
535,Sabaton,2025/12/1,Ziggo Dome,Amsterdam,52.31345,4.93719
536,"Louis Cole, Metropole Orkest, and Jules Buckley",2025/12/1,Het Koninklijk Concertgebouw,Amsterdam,52.35597,4.87856
537,Chuck Prophet,2025/12/1,Bitterzoet,Amsterdam,52.3774,4.89422
538,Kensington,2025/12/3,Ziggo Dome,Amsterdam,52.31345,4.93719
539,Kensington,2025/12/4,Ziggo Dome,Amsterdam,52.31345,4.93719
540,Kensington,2025/12/5,Ziggo Dome,Amsterdam,52.31345,4.93719
541,Krezip,2025/12/6,Ziggo Dome,Amsterdam,52.31345,4.93719
542,Big Time Rush,2025/12/8,Ziggo Dome,Amsterdam,52.31345,4.93719
543,"Big Time Rush, Stephen Kramer Glickman, and Katelyn Tarver",2025/12/9,Ziggo Dome,Amsterdam,52.31345,4.93719
544,Son Mieux,2025/12/12,Paradiso,Amsterdam,52.36228,4.88395
545,Son Mieux,2025/12/13,Paradiso,Amsterdam,52.36228,4.88395
546,Jonna Fraser,2025/12/18,Ziggo Dome,Amsterdam,52.31345,4.93719
547,Jamai,2025/12/27,Ziggo Dome,Amsterdam,52.31345,4.93719
548,Jamai,2025/12/27,Ziggo Dome,Amsterdam,52.31345,4.93719
549,Jamai,2025/12/27,Ziggo Dome,Amsterdam,52.31345,4.93719
